iter	Passed	Remaining
0	0	87
1	1	76
2	2	71
3	2	64
4	3	66
5	5	83
6	7	98
7	9	104
8	10	110
9	13	122
10	16	132
11	18	136
12	20	137
13	22	141
14	25	143
15	27	145
16	29	146
17	32	149
18	35	150
19	37	150
20	39	148
21	41	148
22	44	149
23	46	148
24	48	146
25	50	144
26	53	144
27	56	145
28	58	143
29	60	141
30	63	141
31	65	139
32	67	137
33	69	134
34	72	134
35	75	133
36	76	130
37	78	128
38	80	125
39	82	123
40	84	121
41	85	117
42	87	116
43	89	113
44	91	111
45	94	110
46	96	108
47	98	106
48	100	104
49	103	103
50	105	101
51	107	99
52	110	97
53	113	96
54	115	94
55	117	92
56	119	89
57	121	88
58	124	86
59	126	84
60	129	83
61	135	82
62	146	86
63	151	85
64	155	83
65	159	82
66	164	80
67	168	79
68	174	78
69	178	76
70	184	75
71	188	73
72	193	71
73	196	69
74	199	66
75	202	64
76	205	61
77	208	58
78	211	56
79	215	53
80	217	51
81	220	48
82	223	45
83	226	43
84	229	40
85	232	37
86	235	35
87	237	32
88	241	29
89	245	27
90	248	24
91	251	21
92	254	19
93	257	16
94	260	13
95	263	10
96	266	8
97	268	5
98	272	2
99	275	0
